"","2.5","25","50","75","97.5"
"mean_load",-0.0137801884074904,-0.00653190955126573,-0.00343007054215275,-0.000252288645961478,0.00712166738608014
"b.mean_load.Stock_Analysis.Birkenhead.",-0.0151886233783295,-0.00744416758145935,-0.00420574661875378,-0.000831738984037322,0.0068125786402634
"b.mean_load.Stock_Analysis.Bowron.",-0.0146551314468358,-0.00721013133254092,-0.00389323327486943,-0.000527863549849002,0.00661853025301361
"b.mean_load.Stock_Analysis.Chilko.",-0.0136596668954342,-0.00627055642085669,-0.00286749860559977,0.000438901152449535,0.0081901888914569
"b.mean_load.Stock_Analysis.E.Stuart.",-0.0146460165464355,-0.00692820682861701,-0.00354083834914739,-0.000268261774117602,0.00680990516144426
"b.mean_load.Stock_Analysis.Fennell.",-0.0146107296168789,-0.00694521202484182,-0.00368696735401598,-0.000478560832084932,0.00734131353736041
"b.mean_load.Stock_Analysis.Gates.",-0.0141799513087518,-0.00635771763461166,-0.00303300726340958,0.000265426441844511,0.00743612697012001
"b.mean_load.Stock_Analysis.Harrison.",-0.0134754008543083,-0.0063184088025215,-0.00302690938976097,0.000305217548448501,0.0076122673486294
"b.mean_load.Stock_Analysis.L.Shuswap.",-0.014110541861333,-0.00664843723742213,-0.00343924207889837,-0.000220055150035902,0.00695956196061033
"b.mean_load.Stock_Analysis.L.Stuart.",-0.0138209923209097,-0.00659323434083533,-0.00346575680521224,-0.000288620296433902,0.00732562176213919
"b.mean_load.Stock_Analysis.Nadina.",-0.0140443201363407,-0.00651790962214012,-0.0032582611647613,4.48269645274303e-06,0.00747684904448421
"b.mean_load.Stock_Analysis.Pitt.",-0.0138944045684294,-0.00665651039575859,-0.00338509537608743,0.000186173728529772,0.00733921286929097
"b.mean_load.Stock_Analysis.Portage.",-0.0137133777516525,-0.00639723751308023,-0.0033111700263351,0.000136903386621937,0.00721880085956698
"b.mean_load.Stock_Analysis.Quesnel.",-0.0144617699756378,-0.00710511553795882,-0.00371205665830611,-0.000542941750833806,0.00685918752378804
"b.mean_load.Stock_Analysis.Raft.",-0.0138941769063444,-0.00656678618855039,-0.00325841185858471,4.26210849061144e-05,0.00743179465592456
"b.mean_load.Stock_Analysis.Scotch.",-0.0137050527429144,-0.00648382347654322,-0.00326748012719589,-2.79057479499071e-05,0.00740763245827618
"b.mean_load.Stock_Analysis.Seymour.",-0.0141357106152662,-0.0067282837726976,-0.00337956411049232,-1.35407922779262e-05,0.00742604845339851
"b.mean_load.Stock_Analysis.Stellako.",-0.013588998992461,-0.00640194214754621,-0.00292382268014353,0.000243426219086462,0.007668146180725
"b.mean_load.Stock_Analysis.Weaver.",-0.0140493990249198,-0.0065573246287456,-0.00328326368105431,-6.59080795055781e-05,0.00782452219799597
